游戏;玩偶;玩偶;手指伸进去表演的木偶，套在手指上表演的手套木偶;	轻工业、手工业;工艺美术制品工业;民间工艺美术制品;木偶制作;	建筑科学;建筑设计;工业建筑;构筑物;塔形、柱形等构筑物;烟囱;
加工水泥、黏土或石料;制造水泥与其他材料混合物的设备或方法，例如与泥浆，砂浆;专门适用于装在车上用于在运输时搅拌的装置;	建筑科学;建筑施工机械和设备;混凝土机械与设备;混凝土及砂浆搅拌机、搅拌车;砂浆搅拌机;	航空、航天;航空;飞机构造与设计;起落装置;起落架减震器;
加工水泥、黏土或石料;制造水泥与其他材料混合物的设备或方法，例如与泥浆，砂浆;专门适用于装在车上用于在运输时搅拌的装置;	建筑科学;建筑施工机械和设备;混凝土机械与设备;混凝土及砂浆搅拌机、搅拌车;混凝土搅拌机;	轻工业、手工业;印刷工业;一般性问题;机械与设备;排版设备;
一般车辆;适用于货运或运输、装载或包容特殊货物或物体的车辆;用于载运搅拌好的混凝土，例如具有转鼓的;	建筑科学;建筑施工机械和设备;混凝土机械与设备;混凝土及砂浆搅拌机、搅拌车;	化学工业;金属元素的无机化合物化学工业;铍的无机化合物;
运输;提升;升降机;矿井提升机卷扬装置的主要部件;	工业技术;矿业工程;矿山运输与设备;矿井提升;提升机;	物理学;原子核物理学;中子物理;中子截面;吸收截面;
装订;图册;书;书籍封皮;书或其他装订成册的制品;图册;	自然科学参考工具书;表解、图解、谱录、数据、公式、图册;	化学工业;金属元素的无机化合物;铬副族;钼的无机化合物;
金属加工;螺纹切制;螺钉、螺栓头或螺母的加工;螺纹切制刀具;铣刀;	金属学与金属工艺;刀具、磨料、磨具、夹具、模具和手工具;刀具;铣刀;	真空技术;真空获得技术及设备;真空泵;机械真空泵;离心真空泵;
运输;输送;运输装置，装载或倾卸用输送机;物件或固体物料机械抛料机;	机械、仪表工业;起重机械与运输机械;运输机械;输送机辅助设备;抛料机;	交通运输;铁路运输;铁路线路工程;线路构造;轨枕;
运输;铁路;专门适用于铁路车辆的牵引装置或缓冲装置;牵引装置;	交通运输;铁路运输;机车工程;内燃机车;牵引电机及电器;牵引电器;	交通运输;铁路运输;机车工程;电力机车;保护装置;过负荷保护;
运输;无轨陆用车辆;机动车;挂车;以流线型为特点的车身;	交通运输;公路运输;汽车工程;各种汽车;挂车;挂车;	无线电电子学、电信技术;基本电子电路;放大技术、放大器;放大器;
运输;车辆动力装置或传动装置;车辆辅助驱动装置;辅助驱动装置;	能源与动力工程;内燃机;汽油机;构造;传动装置(驱动装置);	化学工业;硅酸盐工业;玻璃工业;各种玻璃产品;玻璃纤维;
作业;一般的物理或化学的方法或装置;分离;蒸气的冷凝;	化学工业;一般性问题;化工过程（物理过程及物理化学过程）;蒸汽的冷凝;	纺织工业、染整工业;针织;针织用机具;准备机械;
提升;自动扶梯;在楼房或其他建筑物内的，或与之配合的电梯;	工业技术;建筑科学;房屋建筑设备;机电设备;电梯工程;	生活服务技术;家务管理;家庭缝纫、织补;
运输;提升;升降机;在楼房或其他建筑物内的，或与之配合的电梯的种类和形式;升降机;	机械、仪表工业;起重机械与运输机械;起重机械;简易起重机械;升降机、升降台;	给水工程;取水工程;水源;水源勘测;
机床;金属加工;铣削;特殊工件的铣削;特殊铣削加工;其所用机床;	金属学与金属工艺;金属切削加工及机床;削加工及铣床;工具铣床;	化学工业;化学纤维工业;合成纤维;特种纤维;碳纤维系纤维;
运输;铁路;铁路车辆;用于运载液体材料的罐车;	交通运输;铁路运输;车辆工程;货车;罐车;	原子能技术;各种核反应堆;裂变、聚变混合反应堆;
压力机;一般压力机;使用旋转压力构件如辊、环、盘为特征的压力机;	工业技术;金属压力加工;锻造用机械与设备;摩擦压力机;	汽车工程;汽车结构部件;电气设备及附件;照明与信号系统;停刹车信号装置;
对表面涂布的装置;专门用于对表面涂布微粒物质的装置;	化学工业;感光材料工业;机械与设备;涂布机械与设备;	玩具制造工业;各种玩具：按用途分;游艺性玩具;
一般的物理或化学的方法或装置;化学或物理方法;一般的离子交换方法;其中涉及到了离子交换剂的吸附性能;	化学;物理化学（理论化学）、化学物理学;表面现象的物理化学;吸附;吸附理论;离子交换吸附作用;离子交换剂;	交通运输;水路运输;船舶工程;船舶机械;船舶辅机及设备;空气压缩机、空调设备;
一般的物理或化学的方法或装置;化学或物理方法;一般的离子交换方法;床工艺;混合床方法;	化学工业;试剂与纯化学品的生产;离子交换剂;离子交换剂的使用方法;分批操作法（混床法）;	化学工业;金属元素的无机化合物化学工业;第Ⅱ族金属元素的无机化合物;镁的无机化合物;
洗选颗粒状、粉末状或块状物料;沉—浮分离机械分选机;	工业技术;矿业工程;矿山机械;选矿机械;浮选机;	其他轻工业、手工业;乐器制造工业;西乐器;弓弦乐器;
用液体或用风力摇床或风力跳汰机分离固体物料;湿法分离;	冶金工业;有色金属冶炼;一般性问题;金属提炼;湿法冶炼;分离;	纺织工业、染整工业;毛纺织;原毛初加工;羊毛脂回收;
运输;无轨陆用车辆;交通工具的传动装置;用手或脚操作的曲柄结构;	公路运输;汽车工程;汽车结构部件;转向系统;转向器;曲柄传动式;	文教用品制造工业;绘图工具;绘图板、绘图桌;
机床;其他类目中不包括的金属加工;齿轮或齿条的制造;加工齿轮的专用方法或机床;	金属学与金属工艺;金属切削加工及机床;齿轮加工及齿轮机床;齿轮其他加工机床;	化学纤维工业;一般性问题;生产工艺;纺丝原液制备;
飞行器;航空;用于与飞机配合或装到飞机上的设备;动力装置短舱、整流装置或整流罩;	航空、航天;航空;飞机构造与设计;机身、座舱;座舱盖、整流片、整流罩;	交通运输;铁路运输;机车工程;蒸汽机车;蒸汽机部分;
飞行器;航空;动力装置在飞机中的配置或安装;动力装置短舱、整流装置或整流罩;	航空、航天;航空;飞机构造与设计;动力装置;发动机整流罩、螺旋桨帽、桨轴;	航空;航空发动机;发动机附件系统;冷却系统;空气喷气发动机冷却系统;
装订;特种印刷品;永久性装订;单张纸、纸叠或帖码的永久性装订;	轻工业、手工业;印刷工业;装订技术、装帧技术;装订过程与设备;	农业工程;农业机械及农具;种植机械;播种机;特殊结构播种机;
运输;铁路;用于铁路的其他辅助设备;润湿或润滑轨道或轮缘;	铁路运输;铁路线路工程;线路构造;钢轨;钢轨润滑、钢轨喷油器;	工业技术;武器工业;火炮;加农炮;
运输;铁路;用于铁路的其他辅助设备;润湿或润滑轨道或轮缘;	铁路运输;机车工程;内燃机车;辅助装置;润滑系统;润滑油、泵;	农业工程;农业机械及农具;田间管理机械;肥料机械;施肥机;
金属机械加工;金属冲压;锻造;锤击;压制;锻压机;	金属压力加工;锻造、锻压;锻造用机械与设备;自由锻水压机;	能源与动力工程;蒸汽动力工程;蒸汽锅炉;锅炉构造;燃烧装置;
飞行器;航空;宇宙航行;飞机;稳定面;水平尾翼;	航空、航天;航空;航空器结构力学;结构分析与计算;尾翼;	音乐;器乐理论与演奏法;打击乐理论和演奏法;小鼓、大鼓;
航空;飞机;直升飞机;稳定面;安装在机翼上或靠机翼支承的;	航空、航天;航空;飞机构造与设计;机翼;翼上辅助装置;	电信技术;电子元件、组件;电声器件;传声器;电容式传声器;
金属机械加工;金属冲压;冲压金属;用冲压、旋压或拉深的无切削成型;拉深;	金属学与金属工艺;金属压力加工;冷冲压（钣金加工）;深冲、拉延成型、拉深;	轻工业、手工业;工艺美术制品工业;民间工艺美术制品;假面具、脸谱;
一般的物理或化学的方法或装置;分离;液体的分离;不互溶的液体的分离;	化工过程（物理过程及物理化学过程）;分离过程;单相系液态混合物的分离过程;	医药、卫生;药学;药物基础科学;药物化学;有机药物化学;
机械手;机械手;装有操纵装置的容器;程序控制机械手;	自动化技术及设备;机器人技术;机械手;专用机械手;	一般工业技术;摄影技术;摄影机具与设备;照相设备与复制设备;照相机;
运输;铁路;铁路车辆的种类;有轨电车;	公路运输;其他道路运输工具;电车;有轨电车;	纺织工业、染整工业;一般性问题;纺织纤维（纺织原材料）;废纤维的回收与利用;
书写或绘图器具;办公用品;非活动铅笔;铅笔;彩色铅笔;	其他轻工业、手工业;文教用品制造工业;笔;铅笔;	轻工业、手工业;纺织工业、染整工业;非织造布;各类非织造布;针刺法非织造布;
金属加工;焊接;被钎焊、焊接或切割的材料;有色金属;铜或铜合金;	金属学与金属工艺;焊接、金属切割;焊接工艺;金属材料的焊接;钢;	化学工业;化学纤维工业;再生纤维;硝酸纤维素纤维;
金属加工;焊接;被钎焊、焊接或切割的材料;铁和黑色合金;铸铁合金;	金属学与金属工艺;焊接、金属切割;焊接工艺;;金属材料的焊接;铸铁;	航空、航天;航空;飞机构造与设计;机翼;翼上辅助装置;
金属加工;焊接;被钎焊、焊接或切割的材料;有色金属;铝或铝合金;	金属学与金属工艺;焊接、金属切割;焊接工艺;金属材料的焊接;铝;	力学;流体力学;物理-化学流体动力学;界面和毛细流动;
印刷;印刷机械或印刷机;凸版轮转印刷机;	印刷工业;凸版印刷;印刷过程与设备;	无线电电子学;真空电子技术;电子管;二极管;
运输;一般车辆;车轮;全部或主要由非金属材料制造的车轮、轮毂;	交通运输;公路运输;汽车工程;汽车结构部件;行走系统;车轮;轮毂;	农业工程;农业机械及农具;田间管理机械;肥料机械;施肥机;
运输;一般车辆;车轮;全部或主要由非金属材料制造的车轮、轮辋;	交通运输;公路运输;汽车工程;汽车结构部件;行走系统;车轮;轮辋;	电工技术;电机;发电机、大型发电机组（总论）;永磁发电机;
金属机械加工;金属的轧制;金属轧机机座，即由机架、轧辊和附件组成的组装件;轧辊轴;	金属学与金属工艺;金属压力加工;轧制;轧钢机械设备;轧机主列机构和设备;轧辊及轧辊轴承;	交通运输;公路运输;桥涵工程;各种桥梁;桥梁：按结构分;梁式桥;箱梁桥;
运输;船舶或其他水上船只;与船有关的设备;船上辅助设备;空气调节设备的配置;空气调节;	交通运输;水路运输;船舶工程;船舶机械;船舶辅机及设备;空气压缩机、空调设备;	化学;晶体学;晶体生长;晶体生长工艺;其他生长方法;
运输;船舶或其他水上船只;与船有关的设备;船上辅助设备;冷却的配置;冷却;	交通运输;水路运输;船舶工程;船舶机械;船舶辅机及设备;冷冻机械、冷凝器;	农业科学;农业工程;农业机械及农具;耕耘机具;犁;畜力犁;
运输;船舶或其他水上船只;与船有关的设备;船上辅助设备;加热的配置;加热;	交通运输;水路运输;船舶工程;船舶机械;船舶辅机及设备;热交换器、预热器;	化学工业;一般性问题;化工过程（物理过程及物理化学过程）;蒸汽的冷凝;
运输;一般车辆;车轮;由几个主要部分组成的轮辋;组合轮辋;	公路运输;汽车工程;汽车结构部件;行走系统;车轮;轮辋;组合式;	武器、军用器材;步兵武器、枪械及其他近战武器;枪械;步枪;
运输;铁路;铁路车辆的车体部件;用于铁路车辆照明装置的布置铁路;	交通运输;铁路运输;车辆工程;车体构造及设备;车辆设备;电气照明设备;	冶金工业;铁合金冶炼;各种铁合金冶炼;硅铁;
书写或绘图器具;书写或绘图用品;书写或绘图辅助用品;绘图板;	其他轻工业、手工业;文教用品制造工业;绘图工具;绘图板、绘图桌;	纺织工业、染整工业;针织;针织用机具;准备机械;
航空;宇宙航行;飞机;机身或类似部件共同的结构特征;	航空、航天;航空;航空器结构力学;结构分析与计算;机身;	无线电电子学、电信技术;电声器件;传声器;变阻式传声器;
飞行器;航空;宇宙航行;飞机;机身;窗;门;	航空、航天;航空;飞机构造与设计;机身;门窗;	无线电电子学、电信技术;传输线和波导;波导、波导管、波导传输线;
飞行器;航空;宇宙航行;飞机;机身;舱盖;座舱盖;	航空、航天;航空;飞机构造与设计;座舱;座舱盖;	建筑科学;市政工程;给水工程;配水工程;蓄水构筑物及其设备;水塔;
